category,name,novels
O、,沾衣十八跌,女帝; 大唐; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 散花; 联剑; 广陵; 白发; 武当; 塞外; 江湖; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网
O、,护体神功,龙凤; 天骄; 鸣镝; 联剑; 冰河; 风雷; 侠骨; 游剑; 绝塞
O、,金刚不坏身法,天骄; 狂侠; 云海; 冰河
O、,护身罡气,狂侠
O、,须弥芥子功,云海
O、,泥鳅功,绝塞
P、,医疗,返回最上端
P、,换息吐纳,风雷
P、,大周天吐纳（练气）法,天骄; 狂侠; 鸣镝; 广陵; 武当; 云海; 风雷; 牧野; 弹指; 幻剑
P、,小周天吐纳法,武当
P、,昆罗通关大法,冰魄
P、,潜心魔而归真,冰川
P、,回春掌,冰河
P、,龟息功,绝塞
Q、,阵法,返回最上端
Q、,七绝诛魔阵,大唐; 白发
Q、,天龙剑阵,塞外
Q、,九宫八卦剑阵,冰川; 云海; 牧野
Q、,九天玄女阵,冰川
Q、,（正反）四象（剑）阵,龙凤; 冰川; 牧野
Q、,八阵图,龙凤
Q、,地煞阵,龙凤
Q、,七煞阵,狂侠; 游剑
Q、,六合（剑）阵,狂侠; 鸣镝
Q、,刀网阵,广陵
Q、,七星阵,牧野; 绝塞
Q、,大天罗杖阵,冰川
Q、,五行剑阵,幻剑
R、,其它,返回最上端
R、,移宫换穴,女帝
R、,千斤坠,女帝; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 还剑; 萍踪; 散花; 联剑; 广陵; 白发; 江湖; 冰魄; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指
R、,摘叶飞花,女帝; 狂侠; 冰川; 云海; 冰河; 游剑
R、,通臂猿功,联剑
R、,大挪移神功,绝塞
R、,壁虎游（爬）墙功,龙凤; 狂侠; 风云; 散花; 广陵; 冰川; 云海; 冰河; 风雷; 牧野
R、,天魔解体大法,龙凤; 慧剑; 天骄; 狂侠; 鸣镝; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网; 幻剑
R、,移花接木,狂侠
R、,逆行经脉,狂侠
R、,毒血箭,风云; 冰河
R、,磨盘功,萍踪
R、,瑜伽术,萍踪; 散花; 联剑; 冰魄; 冰河; 弹指; 绝塞
R、,柔功,散花; 白发; 冰川; 云海
R、,（易筋）缩骨功,白发; 云海; 游剑; 牧野
R、,敛（潜）精内视（现）,江湖; 冰川
R、,子午流闭血法,冰魄; 冰川
R、,颠倒（挪移）穴道,天骄; 冰川; 云海; 冰河
R、,飞绳解腕,冰川
R、,老鼠功,云海
R、,天遁传音,云海; 冰河; 风雷; 侠骨; 绝塞; 剑网
R、,卸力化劲,冰河
R、,迷魂术,绝塞
R、,归藏解穴神功,云海
