from,to,relation,novel,section
齐世杰,齐岱,上下属,铁凝 --情侣-- 华剑虹,嵯峨
齐岱,齐昂,上下属,铁凝 --情侣-- 华剑虹,嵯峨
年大成,齐岱,上下属,铁凝 --情侣-- 华剑虹,嵯峨
胡轩,无极道长,师徒,铁凝 --情侣-- 华剑虹,嵯峨
无极道长,年大成,师徒,铁凝 --情侣-- 华剑虹,嵯峨
杨大熊,年大成,师徒,铁凝 --情侣-- 华剑虹,嵯峨
龙象法王,无妄上人,师徒,铁凝 --情侣-- 华剑虹,呼图赫
无妄上人,阿卜卢,师徒,铁凝 --情侣-- 华剑虹,呼图赫
阿卜卢,卡洛丝,父母子女/亲属,铁凝 --情侣-- 华剑虹,呼图赫
卡洛丝,明慧公主,师徒,铁凝 --情侣-- 华剑虹,呼图赫
明慧公主,镇国,父母子女/亲属,铁凝 --情侣-- 华剑虹,呼图赫
镇国,赤老温,父母子女/亲属,铁凝 --情侣-- 华剑虹,呼图赫
铁木真,龙象法王,师徒,铁凝 --情侣-- 华剑虹,呼图赫
铁木真,拖雷,父母子女/亲属,铁凝 --情侣-- 华剑虹,呼图赫
铁木真,拔都,父母子女/亲属,铁凝 --情侣-- 华剑虹,呼图赫
拖雷,忽必烈,父母子女/亲属,铁凝 --情侣-- 华剑虹,呼图赫
忽必烈,旭烈兀,父母子女/亲属,铁凝 --情侣-- 华剑虹,呼图赫
居百城,居凤,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
居凤,仵兰,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
仵兰,赵一行,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
龙刚,石璞,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
石璞,宋铁轮,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
宋铁轮,谷涵虚,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
谷涵虚,祁云峰,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
祁云峰,孟明霞,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
风天扬,居龙,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
严浣,龙刚,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
杨婉,李思南,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
李思南,谷涵虚,父母子女/亲属,铁凝 --情侣-- 华剑虹,居龙 --夫妻-- 居百城
金逐流,公孙隐,师徒,铁凝 --情侣-- 华剑虹,金鸡岭
公孙隐,公孙奇,师徒,铁凝 --情侣-- 华剑虹,金鸡岭
公孙奇,联电,父母子女/亲属,铁凝 --情侣-- 华剑虹,金鸡岭
联电,陆菲青,父母子女/亲属,铁凝 --情侣-- 华剑虹,金鸡岭
陆菲青,玉珊瑚,父母子女/亲属,铁凝 --情侣-- 华剑虹,金鸡岭
玉珊瑚,明珠,父母子女/亲属,铁凝 --情侣-- 华剑虹,金鸡岭
明珠,宫锦云,父母子女/亲属,铁凝 --情侣-- 华剑虹,金鸡岭
三和逸士,柳元宗,师徒,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
柳元宗,柳清瑶,师徒,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
柳清瑶,华紫桐,师徒,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
华紫桐,华谷涵,师徒,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
华谷涵,柳元甲,师徒,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
柳元甲,石璞,父母子女/亲属,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
王钟翊,陈珠娘,父母子女/亲属,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
陈珠娘,玉珊瑚,父母子女/亲属,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
玉珊瑚,明珠,父母子女/亲属,铁凝 --情侣-- 华剑虹,三和逸士 --夫妻-- 明明大师
四空上人,仲太符,师徒,铁凝 --情侣-- 华剑虹,金国
四空上人,黑修罗,父母子女/亲属,铁凝 --情侣-- 华剑虹,金国
太乙,金超岳,师徒,铁凝 --情侣-- 华剑虹,金国
金超岳,鹿罗法师,师徒,铁凝 --情侣-- 华剑虹,金国
鹿罗法师,麻大哈,师徒,铁凝 --情侣-- 华剑虹,金国
麻大哈,苏赫,师徒,铁凝 --情侣-- 华剑虹,金国
杜英豪,上官宝珠,师徒,铁凝 --情侣-- 华剑虹,金国
上官宝珠,仲少符,师徒,铁凝 --情侣-- 华剑虹,金国
仲少符,完颜雍,师徒,铁凝 --情侣-- 华剑虹,金国
完颜雍,哈必图,父母子女/亲属,铁凝 --情侣-- 华剑虹,金国
哈必图,完颜长之,父母子女/亲属,铁凝 --情侣-- 华剑虹,金国
完颜长之,呼延豹,父母子女/亲属,铁凝 --情侣-- 华剑虹,金国
呼延豹,韩五,父母子女/亲属,铁凝 --情侣-- 华剑虹,金国
青灵师太,青灵子,师徒,铁凝 --情侣-- 华剑虹,金国
青灵子,上官复,师徒,铁凝 --情侣-- 华剑虹,金国
上官复,完颜长之,师徒,铁凝 --情侣-- 华剑虹,金国
紫玉,耶律勇,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
耶律勇,耶律元宜,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
耶律元宜,耶律延禧,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
耶律延禧,耶律玄元,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
耶律清波,耶律浩云,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
耶律浩云,耶律延禧,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
西门牧野,濮阳坚,师徒,铁凝 --情侣-- 华剑虹,其他
濮阳坚,孟中还,师徒,铁凝 --情侣-- 华剑虹,其他
孟中还,珠玛,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
珠玛,鲁世雄,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
鲁世雄,小龙,父母子女/亲属,铁凝 --情侣-- 华剑虹,其他
小凤,张保,父母子女/亲属,铁凝 --情侣-- 华剑虹,小龙 --情侣-- 小凤
檀道雄,郑友宝,上下属,铁凝 --情侣-- 华剑虹,小龙 --情侣-- 小凤
郑友宝,张保,上下属,铁凝 --情侣-- 华剑虹,小龙 --情侣-- 小凤
张保,张炎,父母子女/亲属,铁凝 --情侣-- 华剑虹,小龙 --情侣-- 小凤
张炎,张宗汉,父母子女/亲属,铁凝 --情侣-- 华剑虹,小龙 --情侣-- 小凤
张宗汉,岳银瓶,父母子女/亲属,铁凝 --情侣-- 华剑虹,小龙 --情侣-- 小凤
岳银瓶,岳飞,父母子女/亲属,铁凝 --情侣-- 华剑虹,小龙 --情侣-- 小凤
林冲,林雪,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
林雪,凌浩,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
凌浩,凌铁威,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
凌铁威,秦虎啸,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
秦虎啸,秦龙飞,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
秦龙飞,时迁,后人,铁凝 --情侣-- 华剑虹,梁山好汉
时迁,小桂子,后人,铁凝 --情侣-- 华剑虹,梁山好汉
秦明,秦虎啸,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
秦虎啸,秦龙飞,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
王剑豪,陶令威,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
陶令威,阮蛟,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
阮蛟,阮小二,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
阮小二,小桂子,父母子女/亲属,铁凝 --情侣-- 华剑虹,梁山好汉
洞冥子,洞玄子,师徒,铁凝 --情侣-- 华剑虹,天山系列
洞玄子,洞真子,师徒,铁凝 --情侣-- 华剑虹,天山系列
洞真子,洞妙真人,父母子女/亲属,铁凝 --情侣-- 华剑虹,天山系列
洞妙真人,玉鼎真人,师徒,铁凝 --情侣-- 华剑虹,天山系列
洞玄子,何洛,父母子女/亲属,铁凝 --情侣-- 华剑虹,天山系列
何洛,洞真子,父母子女/亲属,铁凝 --情侣-- 华剑虹,天山系列
劳福荫,洞真子,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
劳福荫,劳福庇,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
劳福庇,尹丘生,情侣,铁凝 --情侣-- 华剑虹,大严道人
庄英男,庄正光,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
庄英男,龙啸英,情侣,铁凝 --情侣-- 华剑虹,大严道人
龙啸英,楚劲松,师徒,铁凝 --情侣-- 华剑虹,大严道人
楚劲松,姜志奇,师徒,铁凝 --情侣-- 华剑虹,大严道人
姜志奇,玉清神尼,师徒,铁凝 --情侣-- 华剑虹,大严道人
玉清神尼,卫承纲,师徒,铁凝 --情侣-- 华剑虹,大严道人
赵红眉,赵青眉,情侣,铁凝 --情侣-- 华剑虹,大严道人
赵青眉,徐中岳,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
徐中岳,徐锦瑶,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
楚大虹,庄英男,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
楚大虹,楚天舒,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
楚天舒,龙啸英,父母子女/亲属,铁凝 --情侣-- 华剑虹,大严道人
